cycle,stage,syn0r,syn0i,syn1r,syn1i,syn2r,syn2i,found
286,8,0,0,0,0,0,0,x
287,8,0,0,0,0,0,0,0
288,8,0,0,0,0,0,0,0
289,8,0,0,0,0,0,0,0
290,8,0,0,0,0,0,0,0
291,8,0,0,0,0,0,0,0
292,8,0,0,0,0,0,0,0
293,8,0,0,0,0,0,0,0
294,8,0,0,0,0,0,0,0
295,8,0,0,0,0,0,0,0
296,8,0,0,0,0,0,0,0
297,8,0,0,0,0,0,0,0
298,8,0,0,0,0,0,0,0
299,8,0,0,0,0,0,0,0
300,8,0,0,0,0,0,0,0
301,8,0,0,0,0,0,0,0
302,8,0,0,0,0,0,0,0
303,8,0,0,0,0,0,0,0
304,8,0,0,0,0,0,0,0
305,8,0,0,0,0,0,0,0
306,8,0,0,0,0,0,0,0
307,8,0,0,0,0,0,0,0
308,8,0,0,0,0,0,0,0
309,8,0,0,0,0,0,0,0
310,8,0,0,0,0,0,0,0
311,8,0,0,0,0,0,0,0
312,8,0,0,0,0,0,0,0
313,8,0,0,0,0,0,0,0
314,8,0,0,0,0,0,0,0
315,8,0,0,0,0,0,0,0
316,8,0,0,0,0,0,0,0
317,8,0,0,0,0,0,0,0
318,8,0,0,0,0,0,0,0
319,8,0,0,0,0,0,0,0
320,8,0,0,0,0,0,0,0
321,8,0,0,0,0,0,0,0
322,8,0,0,0,0,0,0,0
323,8,0,0,0,0,0,0,0
324,8,0,0,0,0,0,0,0
325,8,0,0,0,0,0,0,0
326,8,0,0,0,0,0,0,0
327,8,0,0,0,0,0,0,0
328,8,0,0,0,0,0,0,0
329,8,0,0,0,0,0,0,0
330,8,0,0,0,0,0,0,0
331,8,0,0,0,0,0,0,0
332,8,0,0,0,0,0,0,0
333,8,0,0,0,0,0,0,0
334,8,0,0,0,0,0,0,0
335,8,0,0,0,0,0,0,0
336,8,0,0,0,0,0,0,0
337,8,0,0,0,0,0,0,0
338,8,0,0,0,0,0,0,0
339,8,0,0,0,0,0,0,0
340,8,0,0,0,0,0,0,0
341,8,0,0,0,0,0,0,0
342,8,0,0,0,0,0,0,0
343,8,0,0,0,0,0,0,0
344,8,0,0,0,0,0,0,0
345,8,0,0,0,0,0,0,0
346,8,0,0,0,0,0,0,0
347,8,0,0,0,0,0,0,0
348,8,0,0,0,0,0,0,0
349,8,0,0,0,0,0,0,0
350,8,0,0,0,0,0,0,0
351,8,0,0,0,0,0,0,0
352,8,0,0,0,0,0,0,0
353,8,0,0,0,0,0,0,0
354,8,0,0,0,0,0,0,0
355,8,0,0,0,0,0,0,0
356,8,0,0,0,0,0,0,0
357,8,0,0,0,0,0,0,0
358,8,0,0,0,0,0,0,0
359,8,0,0,0,0,0,0,0
360,8,0,0,0,0,0,0,0
361,8,0,0,0,0,0,0,0
362,8,0,0,0,0,0,0,0
363,8,0,0,0,0,0,0,0
364,8,0,0,0,0,0,0,0
365,8,0,0,0,0,0,0,0
366,8,0,0,0,0,0,0,0
367,8,0,0,0,0,0,0,0
368,8,0,0,0,0,0,0,0
369,8,0,0,0,0,0,0,0
370,8,0,0,0,0,0,0,0
371,8,0,0,0,0,0,0,0
372,8,0,0,0,0,0,0,0
373,8,0,0,0,0,0,0,0
374,8,0,0,0,0,0,0,0
375,8,0,0,0,0,0,0,0
376,8,0,0,0,0,0,0,0
377,8,0,0,0,0,0,0,0
378,8,0,0,0,0,0,0,0
379,8,0,0,0,0,0,0,0
380,8,0,0,0,0,0,0,0
381,8,0,0,0,0,0,0,0
382,8,0,0,0,0,0,0,0
383,8,0,0,0,0,0,0,0
384,8,0,0,0,0,0,0,0
385,8,0,0,0,0,0,0,0
386,8,0,0,0,0,0,0,0
387,8,0,0,0,0,0,0,0
388,8,0,0,0,0,0,0,0
389,8,0,0,0,0,0,0,0
390,8,0,0,0,0,0,0,0
391,8,0,0,0,0,0,0,0
392,8,0,0,0,0,0,0,0
393,8,0,0,0,0,0,0,0
394,8,0,0,0,0,0,0,0
395,8,0,0,0,0,0,0,0
396,8,0,0,0,0,0,0,0
397,8,0,0,0,0,0,0,0
398,8,0,0,0,0,0,0,0
399,8,0,0,0,0,0,0,0
400,8,0,0,0,0,0,0,0
401,8,0,0,0,0,0,0,0
402,8,0,0,0,0,0,0,0
403,8,0,0,0,0,0,0,0
404,8,0,0,0,0,0,0,0
405,8,0,0,0,0,0,0,0
406,8,0,0,0,0,0,0,0
407,8,0,0,0,0,0,0,0
408,8,0,0,0,0,0,0,0
409,8,0,0,0,0,0,0,0
410,8,0,0,0,0,0,0,0
411,8,0,0,0,0,0,0,0
412,8,0,0,0,0,0,0,0
413,8,0,0,0,0,0,0,0
414,8,0,0,0,0,0,0,0
415,8,0,0,0,0,0,0,0
416,8,0,0,0,0,0,0,0
417,8,0,0,0,0,0,0,0
418,8,0,0,0,0,0,0,0
419,8,0,0,0,0,0,0,0
420,8,0,0,0,0,0,0,0
421,8,0,0,0,0,0,0,0
422,8,0,0,0,0,0,0,0
423,8,0,0,0,0,0,0,0
424,8,0,0,0,0,0,0,0
425,8,0,0,0,0,0,0,0
426,8,0,0,0,0,0,0,0
427,8,0,0,0,0,0,0,0
428,8,0,0,0,0,0,0,0
429,8,0,0,0,0,0,0,0
430,8,0,0,0,0,0,0,0
431,8,0,0,0,0,0,0,0
432,8,0,0,0,0,0,0,0
433,8,0,0,0,0,0,0,0
434,8,0,0,0,0,0,0,0
435,8,0,0,0,0,0,0,0
436,8,0,0,0,0,0,0,0
437,8,0,0,0,0,0,0,0
438,8,0,0,0,0,0,0,0
439,8,0,0,0,0,0,0,0
440,8,0,0,0,0,0,0,0
441,8,0,0,0,0,0,0,0
442,8,0,0,0,0,0,0,0
443,8,0,0,0,0,0,0,0
444,8,0,0,0,0,0,0,0
445,8,0,0,0,0,0,0,0
446,8,0,0,0,0,0,0,0
447,8,0,0,0,0,0,0,0
448,8,0,0,0,0,0,0,0
449,8,0,0,0,0,0,0,0
450,8,0,0,0,0,0,0,0
451,8,0,0,0,0,0,0,0
452,8,0,0,0,0,0,0,0
453,8,0,0,0,0,0,0,0
454,8,0,0,0,0,0,0,0
455,8,0,0,0,0,0,0,0
456,8,0,0,0,0,0,0,0
457,8,0,0,0,0,0,0,0
458,8,0,0,0,0,0,0,0
459,8,0,0,0,0,0,0,0
460,8,0,0,0,0,0,0,0
461,8,0,0,0,0,0,0,0
462,8,0,0,0,0,0,0,0
463,8,0,0,0,0,0,0,0
464,8,0,0,0,0,0,0,0
465,8,0,0,0,0,0,0,0
466,8,0,0,0,0,0,0,0
467,8,0,0,0,0,0,0,0
468,8,0,0,0,0,0,0,0
469,8,0,0,0,0,0,0,0
470,8,0,0,0,0,0,0,0
471,8,0,0,0,0,0,0,0
472,8,0,0,0,0,0,0,0
473,8,0,0,0,0,0,0,0
474,8,0,0,0,0,0,0,0
475,8,0,0,0,0,0,0,0
476,8,0,0,0,0,0,0,0
477,8,0,0,0,0,0,0,0
478,8,0,0,0,0,0,0,0
479,8,0,0,0,0,0,0,0
480,8,0,0,0,0,0,0,0
481,8,0,0,0,0,0,0,0
482,8,0,0,0,0,0,0,0
483,8,0,0,0,0,0,0,0
484,8,0,0,0,0,0,0,0
485,8,0,0,0,0,0,0,0
486,8,0,0,0,0,0,0,0
487,8,0,0,0,0,0,0,0
488,8,0,0,0,0,0,0,0
489,8,0,0,0,0,0,0,0
490,8,0,0,0,0,0,0,0
491,8,0,0,0,0,0,0,0
492,8,0,0,0,0,0,0,0
493,8,0,0,0,0,0,0,0
494,8,0,0,0,0,0,0,0
495,8,0,0,0,0,0,0,0
496,8,0,0,0,0,0,0,0
497,8,0,0,0,0,0,0,0
498,8,0,0,0,0,0,0,0
499,8,0,0,0,0,0,0,0
500,8,0,0,0,0,0,0,0
501,8,0,0,0,0,0,0,0
502,8,0,0,0,0,0,0,0
503,8,0,0,0,0,0,0,0
504,8,0,0,0,0,0,0,0
505,8,0,0,0,0,0,0,0
506,8,0,0,0,0,0,0,0
507,8,0,0,0,0,0,0,0
508,8,0,0,0,0,0,0,0
509,8,0,0,0,0,0,0,0
510,8,0,0,0,0,0,0,0
511,8,0,0,0,0,0,0,0
512,8,0,0,0,0,0,0,0
513,8,0,0,0,0,0,0,0
514,8,0,0,0,0,0,0,0
515,8,0,0,0,0,0,0,0
516,8,0,0,0,0,0,0,0
517,8,0,0,0,0,0,0,0
518,8,0,0,0,0,0,0,0
519,8,0,0,0,0,0,0,0
520,8,0,0,0,0,0,0,0
521,8,0,0,0,0,0,0,0
522,8,0,0,0,0,0,0,0
523,8,0,0,0,0,0,0,0
524,8,0,0,0,0,0,0,0
525,8,0,0,0,0,0,0,0
526,8,0,0,0,0,0,0,0
527,8,0,0,0,0,0,0,0
528,8,0,0,0,0,0,0,0
529,8,0,0,0,0,0,0,0
530,8,0,0,0,0,0,0,0
531,8,0,0,0,0,0,0,0
532,8,0,0,0,0,0,0,0
533,8,0,0,0,0,0,0,0
534,8,0,0,0,0,0,0,0
535,8,0,0,0,0,0,0,0
536,8,0,0,0,0,0,0,0
537,8,0,0,0,0,0,0,0
538,8,0,0,0,0,0,0,0
539,8,0,0,0,0,0,0,0
540,8,0,0,0,0,0,0,0
541,8,0,0,0,0,0,0,0
542,8,0,0,0,0,0,0,0
543,8,0,0,0,0,0,0,0
544,8,0,0,0,0,0,0,0
545,8,0,0,0,0,0,0,0
546,8,0,0,0,0,0,0,0
547,8,0,0,0,0,0,0,0
548,8,0,0,0,0,0,0,0
549,8,0,0,0,0,0,0,0
550,8,0,0,0,0,0,0,0
551,8,0,0,0,0,0,0,0
552,8,0,0,0,0,0,0,0
553,8,0,0,0,0,0,0,0
554,8,0,0,0,0,0,0,0
555,8,0,0,0,0,0,0,0
556,8,0,0,0,0,0,0,0
557,8,0,0,0,0,0,0,0
558,8,0,0,0,0,0,0,0
559,8,0,0,0,0,0,0,0
560,8,0,0,0,0,0,0,0
561,8,0,0,0,0,0,0,0
562,8,0,0,0,0,0,0,0
563,8,0,0,0,0,0,0,0
564,8,0,0,0,0,0,0,0
565,8,0,0,0,0,0,0,0
566,8,0,0,0,0,0,0,0
567,8,0,0,0,0,0,0,0
568,8,0,0,0,0,0,0,0
569,8,0,0,0,0,0,0,0
570,8,0,0,0,0,0,0,0
571,8,0,0,0,0,0,0,0
572,8,0,0,0,0,0,0,0
573,8,0,0,0,0,0,0,0
574,8,0,0,0,0,0,0,0
575,8,0,0,0,0,0,0,0
576,8,0,0,0,0,0,0,0
577,8,0,0,0,0,0,0,0
578,8,0,0,0,0,0,0,0
579,8,0,0,0,0,0,0,0
580,8,0,0,0,0,0,0,0
581,8,0,0,0,0,0,0,0
582,8,0,0,0,0,0,0,0
583,8,0,0,0,0,0,0,0
584,8,0,0,0,0,0,0,0
585,8,0,0,0,0,0,0,0
586,8,0,0,0,0,0,0,0
587,8,0,0,0,0,0,0,0
588,8,0,0,0,0,0,0,0
589,8,0,0,0,0,0,0,0
590,8,0,0,0,0,0,0,0
591,8,0,0,0,0,0,0,0
592,8,0,0,0,0,0,0,0
593,8,0,0,0,0,0,0,0
594,8,0,0,0,0,0,0,0
595,8,0,0,0,0,0,0,0
596,8,0,0,0,0,0,0,0
597,8,0,0,0,0,0,0,0
598,8,0,0,0,0,0,0,0
599,8,0,0,0,0,0,0,0
600,8,0,0,0,0,0,0,0
601,8,0,0,0,0,0,0,0
602,8,0,0,0,0,0,0,0
603,8,0,0,0,0,0,0,0
604,8,0,0,0,0,0,0,0
605,8,0,0,0,0,0,0,0
606,8,0,0,0,0,0,0,0
607,8,0,0,0,0,0,0,0
608,8,0,0,0,0,0,0,0
609,8,0,0,0,0,0,0,0
610,8,0,0,0,0,0,0,0
611,8,0,0,0,0,0,0,0
612,8,0,0,0,0,0,0,0
613,8,0,0,0,0,0,0,0
614,8,0,0,0,0,0,0,0
615,8,0,0,0,0,0,0,0
616,8,0,0,0,0,0,0,0
617,8,0,0,0,0,0,0,0
618,8,0,0,0,0,0,0,0
619,8,0,0,0,0,0,0,0
620,8,0,0,0,0,0,0,0
621,8,0,0,0,0,0,0,0
622,8,0,0,0,0,0,0,0
623,8,0,0,0,0,0,0,0
624,8,0,0,0,0,0,0,0
625,8,0,0,0,0,0,0,0
626,8,0,0,0,0,0,0,0
627,8,0,0,0,0,0,0,0
628,8,0,0,0,0,0,0,0
629,8,0,0,0,0,0,0,0
630,8,0,0,0,0,0,0,0
631,8,0,0,0,0,0,0,0
632,8,0,0,0,0,0,0,0
633,8,0,0,0,0,0,0,0
634,8,0,0,0,0,0,0,0
635,8,0,0,0,0,0,0,0
636,8,0,0,0,0,0,0,0
637,8,0,0,0,0,0,0,0
638,8,0,0,0,0,0,0,0
639,8,0,0,0,0,0,0,0
640,8,0,0,0,0,0,0,0
641,8,0,0,0,0,0,0,0
642,8,0,0,0,0,0,0,0
643,8,0,0,0,0,0,0,0
644,8,0,0,0,0,0,0,0
645,8,0,0,0,0,0,0,0
646,8,0,0,0,0,0,0,0
647,8,0,0,0,0,0,0,0
648,8,0,0,0,0,0,0,0
649,8,0,0,0,0,0,0,0
650,8,0,0,0,0,0,0,0
651,8,0,0,0,0,0,0,0
652,8,0,0,0,0,0,0,0
653,8,0,0,0,0,0,0,0
654,8,0,0,0,0,0,0,0
655,8,0,0,0,0,0,0,0
656,8,0,0,0,0,0,0,0
657,8,0,0,0,0,0,0,0
658,8,0,0,0,0,0,0,0
659,8,0,0,0,0,0,0,0
660,8,0,0,0,0,0,0,0
661,8,0,0,0,0,0,0,0
662,8,0,0,0,0,0,0,0
663,8,0,0,0,0,0,0,0
664,8,0,0,0,0,0,0,0
665,8,0,0,0,0,0,0,0
666,8,0,0,0,0,0,0,0
667,8,0,0,0,0,0,0,0
668,8,0,0,0,0,0,0,0
669,8,0,0,0,0,0,0,0
670,8,0,0,0,0,0,0,0
671,8,0,0,0,0,0,0,0
672,8,0,0,0,0,0,0,0
673,8,0,0,0,0,0,0,0
674,8,0,0,0,0,0,0,0
675,8,0,0,0,0,0,0,0
676,8,0,0,0,0,0,0,0
677,8,0,0,0,0,0,0,0
678,8,0,0,0,0,0,0,0
679,8,0,0,0,0,0,0,0
680,8,0,0,0,0,0,0,0
681,8,0,0,0,0,0,0,0
682,8,0,0,0,0,0,0,0
683,8,0,0,0,0,0,0,0
684,8,0,0,0,0,0,0,0
685,8,0,0,0,0,0,0,0
686,8,0,0,0,0,0,0,0
687,8,0,0,0,0,0,0,0
688,8,0,0,0,0,0,0,0
689,8,0,0,0,0,0,0,0
690,8,0,0,0,0,0,0,0
691,8,0,0,0,0,0,0,0
692,8,0,0,0,0,0,0,0
693,8,0,0,0,0,0,0,0
694,8,0,0,0,0,0,0,0
695,8,0,0,0,0,0,0,0
696,8,0,0,0,0,0,0,0
697,8,0,0,0,0,0,0,0
698,8,0,0,0,0,0,0,0
699,8,0,0,0,0,0,0,0
700,8,0,0,0,0,0,0,0
701,8,0,0,0,0,0,0,0
702,8,0,0,0,0,0,0,0
703,8,0,0,0,0,0,0,0
704,8,0,0,0,0,0,0,0
705,8,0,0,0,0,0,0,0
706,8,0,0,0,0,0,0,0
707,8,0,0,0,0,0,0,0
708,8,0,0,0,0,0,0,0
709,8,0,0,0,0,0,0,0
710,8,0,0,0,0,0,0,0
711,8,0,0,0,0,0,0,0
712,8,0,0,0,0,0,0,0
713,8,0,0,0,0,0,0,0
714,8,0,0,0,0,0,0,0
715,8,0,0,0,0,0,0,0
716,8,0,0,0,0,0,0,0
717,8,0,0,0,0,0,0,0
718,8,0,0,0,0,0,0,0
719,8,0,0,0,0,0,0,0
720,8,0,0,0,0,0,0,0
721,8,0,0,0,0,0,0,0
722,8,0,0,0,0,0,0,0
723,8,0,0,0,0,0,0,0
724,8,0,0,0,0,0,0,0
725,8,0,0,0,0,0,0,0
726,8,0,0,0,0,0,0,0
727,8,0,0,0,0,0,0,0
728,8,0,0,0,0,0,0,0
729,8,0,0,0,0,0,0,0
730,8,0,0,0,0,0,0,0
731,8,0,0,0,0,0,0,0
